Date,City,Value
2011-03-01,Kegalla,28
2011-04-01,Kegalla,51
2011-05-01,Kegalla,48
2011-06-01,Kegalla,120
2011-07-01,Kegalla,141
2011-08-01,Kegalla,81
2011-09-01,Kegalla,156
2011-10-01,Kegalla,176
2011-11-01,Kegalla,88
2011-12-01,Kegalla,152
2011-01-01,Kalminai,3
2011-02-01,Kalminai,1
2011-03-01,Kalminai,6
2011-04-01,Kalminai,4
2011-05-01,Kalminai,2
2011-06-01,Kalminai,3
2011-07-01,Kalminai,8
2011-08-01,Kalminai,0
2011-09-01,Kalminai,2
2011-10-01,Kalminai,5
2011-11-01,Kalminai,6
2011-12-01,Kalminai,48
2012-01-01,Colombo,1066
2012-02-01,Colombo,744
2012-03-01,Colombo,630
2012-04-01,Colombo,412
2012-05-01,Colombo,583
2012-06-01,Colombo,1251
2012-07-01,Colombo,1314
2012-08-01,Colombo,1231
2012-09-01,Colombo,525
2012-10-01,Colombo,726
2012-11-01,Colombo,853
2012-12-01,Colombo,682
2012-01-01,Gampaha,847
2012-02-01,Gampaha,640
2012-03-01,Gampaha,447
2012-04-01,Gampaha,367
2012-05-01,Gampaha,397
2012-06-01,Gampaha,1180
2012-07-01,Gampaha,969
2012-08-01,Gampaha,884
2012-09-01,Gampaha,479
2012-10-01,Gampaha,570
2012-11-01,Gampaha,737
2012-12-01,Gampaha,489
2012-01-01,Kalutara,180
2012-02-01,Kalutara,260
2012-03-01,Kalutara,209
2012-04-01,Kalutara,205
2012-05-01,Kalutara,182
2012-06-01,Kalutara,364
2012-07-01,Kalutara,348
2012-08-01,Kalutara,339
2012-09-01,Kalutara,156
2012-10-01,Kalutara,192
2012-11-01,Kalutara,213
2012-12-01,Kalutara,143
2012-01-01,Kandy,270
2012-02-01,Kandy,194
2012-03-01,Kandy,114
2012-04-01,Kandy,122
2012-05-01,Kandy,194
2012-06-01,Kandy,298
2012-07-01,Kandy,287
2012-08-01,Kandy,355
2012-09-01,Kandy,135
2012-10-01,Kandy,177
2012-11-01,Kandy,185
2012-12-01,Kandy,186
2012-01-01,Matale,45
2012-02-01,Matale,47
2012-03-01,Matale,59
2012-04-01,Matale,35
2012-05-01,Matale,32
2012-06-01,Matale,81
2012-07-01,Matale,29
2012-08-01,Matale,62
2012-09-01,Matale,46
2012-10-01,Matale,44
2012-11-01,Matale,47
2012-12-01,Matale,69
